nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
Taian Table;China Mainland;Shanghai;101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Changning, Shanghai, China Mainland;31.221807;121.474049;50;non;non;Innovative
Casa Perbellini 12 Apostoli;Italy;Verona;vicolo Corticella San Marco 3, Verona, 37121, Italy;45.4426941;10.9961161;120;non;non;Creative
Le Calandre;Italy;Rubano;via Liguria 1, località Sarmeola, Rubano, 35030, Italy;45.4215425;11.8096633;120;non;non;Creative
Enrico Bartolini al Mudec;Italy;Milan;via Tortona 56, Milan, 20144, Italy;45.4516;9.161865;120;non;non;Creative
Uliassi;Italy;Senigallia;banchina di Levante 6, Senigallia, 60019, Italy;43.7194609;13.2206503;120;non;non;Creative
Enoteca Pinchiorri;Italy;Florence;via Ghibellina 87, Florence, 50122, Italy;43.770066;11.2621974;120;non;non;Italian Contemporary
Atelier Moessmer Norbert Niederkofler;Italy;Brunico;via Walther Von der Vogelweide 17, Brunico, 39031, Italy;46.7927709;11.949283;120;non;non;Creative
Villa Crespi;Italy;Orta San Giulio;via Fava 18, Orta San Giulio, 28016, Italy;45.7964778;8.4159486;120;non;non;Creative
Quattro Passi;Italy;Marina del Cantone;via Vespucci 13/n, Marina del Cantone, 80061, Italy;40.5857091;14.3537561;120;non;non;Mediterranean Cuisine
La Pergola;Italy;Rome;via Cadlolo 101, Rome, 00136, Italy;41.9187946;12.4461151;120;non;non;Mediterranean Cuisine
Reale;Italy;Castel di Sangro;contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy;41.7800349;14.094554;120;non;non;Modern Cuisine
Da Vittorio;Italy;Brusaporto;via Cantalupa 17, Brusaporto, 24060, Italy;45.6756778;9.7692511;120;non;non;Italian Contemporary
Osteria Francescana;Italy;Modena;via Stella 22, Modena, 41121, Italy;44.6448099;10.9215518;120;non;non;Creative
Dal Pescatore;Italy;Runate;località Runate 15, Runate, 46013, Italy;45.1712728;10.3565788;120;non;non;Italian Contemporary
Piazza Duomo;Italy;Alba;vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy;44.7005555;8.0359341;120;non;non;Creative
